cam_id,cam_type,cam_description,latitude,longitude,cam_format,fb_posting,nr_enable,nr_version,nr_training,nr_mask,motion_enable,mask,p_motion,disable_capture,right_orientation,left_orientation,motion_threshold,motion_override,train_location_timeout,train_location_speedlimit,train_location_distance,hour_limit,day_limit,img_crop
51,vdm,CP Outremont Spur (Beaubien / Parc),45.526269,-73.611411,jpg,,,,,,,,,x,,,,,,,,,,
81,vdm,CP Parc Sub (Jarry / Querbes),45.533258,-73.634574,jpg,,,,,,,,,x,,,,,,,,,,
119,vdm,CN St-Hyacinthe MP 72 (Pont Victoria),0,0,jpg,,,,,,,,,x,,,,,,,,,,
121,vdo,Sheffield - Sub. Alexandria,0,0,jpg,,,0,,,,,,x,,,,,,,,,,
133,vdo,ANR Renfrew MP 2 (Kanata ON),45.338682,-75.911689,jpg,,,,,,,,,x,,,,,,,,,,
144,vdm,CP Parc Sub (Beaumont / Parc),45.528896,-73.617266,jpg,,,2,,x,,x,,x,,,,,,,,,,
148,vdo,VIA Smiths Falls MP 4 (Fallowfield),45.29544,-75.73914,jpg,,x,34,x,,,,,,,,,,340,0,2400,3,12,
180,vdm,CN St-Laurent (Ahuntsic),45.534985,-73.662703,jpg,,,11,,x,,x,,x,,,,,,,,,,
212,vdm,CN Wharf Spur,45.499877,-73.552533,jpg,,,20,,x,,x,,x,,,,,,,,,,
258,vdm,CP Outremont Spur (Bellechasse/St-Laurent),45.528352,-73.604354,jpg,,,0,,x,,x,,x,,,,,,,,,,
268,vdm,CP Adirondack MP 49  Wilderton crossing (Montréal),45.51341,-73.63146,jpg,,,20,,,,,,x,,,,,,,,,,
335,vdm,CN St-Laurent MP 130.5 (RDP),45.65914,-73.541677,jpg,,,8,,x,,x,,x,,,,,,,,,,
458,vdm,CN St-Laurent (Pie IX),0,0,jpg,,,,,,,,,x,,,,,,,,,,
467,vdm,CP Outremont Spur (St-Grégoire/Papineau),0,0,jpg,,,,,,,,,x,,,,,,,,,,
